year,president,script
1989,Bush1,le 3 week ago joined west front building looking monument proud past offered hand filling next page american history story extended prosperity continued peace tonight back offer plan well hand remains extended sleeve rolled america waiting must produce together build better america
1989,Bush1,comforting return historic chamber 22 year ago first raised hand sworn public life tonight feel returning home friend intend month year come give friend deserve frankness respect best judgment way improve america future return ask honest commitment common mission progress seize opportunity road u therell praise enough people didnt send u bicker time govern
1989,Bush1,many president come chamber time great crisis war depression loss national spirit 8 year ago sat chair president reagan spoke punishing inflation devastatingly high interest rate people work american confidence wane challenge different fortunate much changed landscape lie u tonight propose reverse direction headed right way cannot rest people whose energy drive fueled rise greatness forwardlooking nation generous yes ambitious world complacency character ever
1989,Bush1,tonight must take strong america make even better must address real problem must establish clear priority must make substantial cut federal budget deficit people find agenda impossible presenting tonight realistic plan tackling plan four broad feature attention urgent priority investment future attack deficit new tax budget represents best judgment address priority many area would spend propose understand cannot get fiscal house order
1989,Bush1,next year alone thanks economic growth without change law federal government take 80 billion year thats right 80 billion new revenue increase tax job allocate new resource wisely afford increase spending modest amount enough invest key priority still cut deficit almost 40 percent 1 year allow u meet target set forth grammrudmanhollings law must recognize growth inflation federal program preordained spending initiative designed immortal
1989,Bush1,make pledge tonight team ready work congress form special leadership group negotiate faith work day night thats take meet budget target produce budget time
1989,Bush1,cannot settle business usual government continuing resolution government crisis ask congress tonight approve several measure make budgeting sensible could save time improve efficiency enacting 2year budget fortythree governor lineitem veto president least president proposes rescind federal spending congress required vote proposal instead killing inaction ask congress honor public wish passing constitutional amendment require balanced budget amendment phased discipline congress executive branch
1989,Bush1,several principle describe kind america hope build help year ahead luxury taking easy spendthrift approach solving problem higher spending higher tax put economic growth risk economic growth provides job hope economic growth enables u pay social program economic growth enhances security nation low tax rate create economic growth
1989,Bush1,believe giving american greater freedom greater choice work choice american family whether housing live school send child child care select young see believe obligation need government provider first resort thing private sector produce better believe society free discrimination bigotry kind work knock barrier left past discrimination build tolerant society stop barrier ever built
1989,Bush1,believe family faith represent moral compass nation ill work make strong benjamin franklin said sparrow cannot fall ground without notice great nation rise without aid believe giving people power make life better growth opportunity together let put power hand people
1989,Bush1,three week ago celebrated bicentennial inaugural 200th anniversary first presidency look back one thing striking way founding father looked america didnt talk talked posterity talked future must think term bigger must take action ensure better tomorrow must extend american leadership technology increase longterm investment improve educational system boost productivity key building better future recommendation
1989,Bush1,request funding nasa national aeronautics space administration strong space program increase almost 24 billion current fiscal year must manned space station vigorous safe space shuttle program commercial development space space program always go full throttle thats ambition destiny
1989,Bush1,propose cut maximum tax rate capital gain increase longterm investment history clear increase revenue help saving create new job wont competitive leave whole sector america behind year finally enact urban enterprise zone bring hope inner city
1989,Bush1,important competitiveness program one improves education america student actually trouble locating america map world time u map new approach education must reward excellence cut bureaucracy must help school need help must give choice parent student teacher principal must hold concerned accountable education cannot tolerate mediocrity want cut dropout rate make america literate nation really come longer graduation line shorter unemployment line tomorrow
1989,Bush1,tonight proposing following initiative beginning 500 million program reward america best school merit school creation special presidential award best teacher every state excellence rewarded establishment new program national science scholar one year every member house senate give generation student special incentive excel science mathematics expanded use magnet school give family student greater choice new program encourage alternative certification let talented people field teach classroom ive said id education president tonight id ask join becoming education congress
1989,Bush1,last week settled new office received letter mother pennsylvania struck message inaugural address 12 hour wrote husband received word son addicted cocaine world foot bright gifted personable could done anything life chosen cocaine please wrote find way curb supply cocaine get tough pusher son need help
1989,Bush1,friend voice cry help could voice neighbor friend son 23 million american used illegal drug last year staggering cost nation wellbeing let recorded time america rose said drug scourge drug must stopped asking tonight increase almost billion dollar budget outlay escalate war drug war must waged front new drug czar bill bennett shoulder shoulder executive branch leading charge
1989,Bush1,money used expand treatment poor young mother offer helping hand many innocent victim drug thousand baby born addicted aid mother addiction used cut waiting time treatment money devoted urban school emergency worst much used protect border help coast guard custom service department state justice yes u military
1989,Bush1,mean get tough drug criminal let clear president back put life line every single day local police officer budget asks beefedup prosecution new attack organized crime enforcement tough sentence worst kingpin mean death penalty also want make sure drug dealer convicted there cell waiting go free prison full let word go caught convicted time
1989,Bush1,law enforcement interdiction treatment never win war drug unless stop demand drug increase used educate young danger drug must involve parent must involve teacher must involve community friend must involve every one u concern
1989,Bush1,one problem related drug use demand urgent attention continuing compassion terrible tragedy aid asking 16 billion education prevent disease research find cure
